PolygonLayer1_label,Value0
All people in poverty (2023),Children ages 0-17 in poverty (2023),12069,Lake,1,10.7,9.4,12.0,12.9,9.3,16.5
All people in poverty (2023),Children ages 0-17 in poverty (2023),12071,Lee,2,12.1,11.0,13.2,17.3,14.4,20.2
All people in poverty (2023),Children ages 0-17 in poverty (2023),12073,Leon,2,17.6,15.8,19.4,18.8,14.3,23.3
All people in poverty (2023),Children ages 0-17 in poverty (2023),12075,Levy,2,18.3,15.1,21.5,24.8,17.2,32.4
All people in poverty (2023),Children ages 0-17 in poverty (2023),12077,Liberty,8,20.8,15.9,25.7,26.0,18.0,34.0
All people in poverty (2023),Children ages 0-17 in poverty (2023),12079,Madison,8,19.8,15.2,24.4,27.5,18.6,36.4
All people in poverty (2023),Children ages 0-17 in poverty (2023),12081,Manatee,2,10.4,9.3,11.5,13.1,10.0,16.2
All people in poverty (2023),Children ages 0-17 in poverty (2023),12083,Marion,2,15.0,13.5,16.5,24.6,20.9,28.3
All people in poverty (2023),Children ages 0-17 in poverty (2023),12085,Martin,2,13.1,11.7,14.5,17.0,13.8,20.2
All people in poverty (2023),Children ages 0-17 in poverty (2023),12086,Miami-Dade,1,14.1,13.3,14.9,17.1,15.0,19.2
All people in poverty (2023),Children ages 0-17 in poverty (2023),12087,Monroe,4,10.0,7.9,12.1,14.3,9.8,18.8
All people in poverty (2023),Children ages 0-17 in poverty (2023),12089,Nassau,1,9.5,8.1,10.9,13.1,10.3,15.9
All people in poverty (2023),Children ages 0-17 in poverty (2023),12091,Okaloosa,2,10.1,8.5,11.7,13.6,10.4,16.8
All people in poverty (2023),Children ages 0-17 in poverty (2023),12093,Okeechobee,4,17.0,13.4,20.6,24.4,17.2,31.6
All people in poverty (2023),Children ages 0-17 in poverty (2023),12095,Orange,1,12.4,11.4,13.4,15.2,12.6,17.8
All people in poverty (2023),Children ages 0-17 in poverty (2023),12097,Osceola,1,10.9,9.2,12.6,14.2,10.3,18.1
All people in poverty (2023),Children ages 0-17 in poverty (2023),12099,Palm Beach,1,10.8,9.8,11.8,14.6,12.0,17.2
All people in poverty (2023),Children ages 0-17 in poverty (2023),12101,Pasco,1,10.5,9.2,11.8,12.3,9.3,15.3
All people in poverty (2023),Children ages 0-17 in poverty (2023),12103,Pinellas,1,11.3,10.2,12.4,15.3,12.1,18.5
All people in poverty (2023),Children ages 0-17 in poverty (2023),12105,Polk,2,13.0,11.5,14.5,18.1,14.6,21.6
All people in poverty (2023),Children ages 0-17 in poverty (2023),12107,Putnam,4,21.1,17.7,24.5,28.0,20.7,35.3
All people in poverty (2023),Children ages 0-17 in poverty (2023),12109,St. Johns,1,6.1,5.2,7.0,5.8,4.0,7.6
All people in poverty (2023),Children ages 0-17 in poverty (2023),12111,St. Lucie,2,10.4,8.6,12.2,12.2,7.9,16.5
All people in poverty (2023),Children ages 0-17 in poverty (2023),12113,Santa Rosa,2,8.1,6.4,9.8,8.6,5.5,11.7
